hg19_1540	Barski_lab	CD4_Tcells	POLR2A	CD4+_T_cells+invitrogen	Unpublished	T_lymphocyte	EBV-	human
hg19_1353	ENCODE	GM12878	TBL1XR1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1355	ENCODE	GM12878	TBP	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1362	ENCODE	GM12878	TCF12	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1369	ENCODE	GM12878	TCF3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1453	ENCODE	GM12878	USF1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1460	ENCODE	GM12878	USF2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1477	ENCODE	GM12878	WRNIP1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1481	ENCODE	GM12878	YY1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1507	ENCODE	GM12878	ZBTB33	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1515	ENCODE	GM12878	ZEB1	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1518	ENCODE	GM12878	ZNF143	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_1539	ENCODE	GM12878	ZZZ3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0184	ENCODE	GM12891	CTCF	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_0934	ENCODE	GM12891	PAX5	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_0964	ENCODE	GM12891	POLR2A	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_1010	ENCODE	GM12891	POU2F2	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_1068	ENCODE	GM12891	RELA	GM12891+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_1250	ENCODE	GM12891	SPI1	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_1326	ENCODE	GM12891	TAF1	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_1482	ENCODE	GM12891	YY1	GM12891	22955619	B_lymphocyte	EBV+	human
hg19_0185	ENCODE	GM12892	CTCF	GM12892	22955619	B_lymphocyte	EBV+	human
hg19_0935	ENCODE	GM12892	PAX5	GM12892	22955619	B_lymphocyte	EBV+	human
hg19_0965	ENCODE	GM12892	POLR2A	GM12892	22955619	B_lymphocyte	EBV+	human
hg19_1069	ENCODE	GM12892	RELA	GM12892+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_1327	ENCODE	GM12892	TAF1	GM12892	22955619	B_lymphocyte	EBV+	human
hg19_1483	ENCODE	GM12892	YY1	GM12892	22955619	B_lymphocyte	EBV+	human
hg19_0966	ENCODE	GM15510	POLR2A	GM15510	22955619	B_lymphocyte	EBV+	human
hg19_1070	ENCODE	GM15510	RELA	GM15510+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0967	ENCODE	GM18505	POLR2A	GM18505	22955619	B_lymphocyte	EBV+	human
hg19_1071	ENCODE	GM18505	RELA	GM18505+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0968	ENCODE	GM18526	POLR2A	GM18526	22955619	B_lymphocyte	EBV+	human
hg19_1072	ENCODE	GM18526	RELA	GM18526+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0969	ENCODE	GM18951	POLR2A	GM18951	22955619	B_lymphocyte	EBV+	human
hg19_1073	ENCODE	GM18951	RELA	GM18951+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0970	ENCODE	GM19099	POLR2A	GM19099	22955619	B_lymphocyte	EBV+	human
hg19_1074	ENCODE	GM19099	RELA	GM19099+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0971	ENCODE	GM19193	POLR2A	GM19193	22955619	B_lymphocyte	EBV+	human
hg19_1075	ENCODE	GM19193	RELA	GM19193+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0186	ENCODE	GM19238	CTCF	GM19238	22955619	B_lymphocyte	EBV+	human
hg19_0187	ENCODE	GM19239	CTCF	GM19239	22955619	B_lymphocyte	EBV+	human
hg19_0188	ENCODE	GM19240	CTCF	GM19240	22955619	B_lymphocyte	EBV+	human
hg19_0268	ENCODE	HL-60	CTCF	HL-60	22955619	promyelocyte	EBV-	human
hg19_0972	ENCODE	Raji	POLR2A	Raji	22955619	B_lymphocyte	EBV+	human
hg19_0112	Misc_ChIP	Akata	BZLF1	Akata	25779048	B_lymphocyte	EBV+	EBV
hg19_0644	Misc_ChIP	B_lymphocyte	IRF3	BCells	23994473	B_lymphocyte	EBV+	human
hg19_0645	Misc_ChIP	B_lymphocyte	IRF3	BCells+Sendai_Virus	23994473	B_lymphocyte	EBV+	human
hg19_0741	Misc_ChIP	B_lymphocyte	MED1	BCells	23994473	B_lymphocyte	EBV+	human
hg19_0742	Misc_ChIP	B_lymphocyte	MED1	BCells+Sendai_Virus	23994473	B_lymphocyte	EBV+	human
hg19_0831	Misc_ChIP	B_lymphocyte	NELFA	BCells	23994473	B_lymphocyte	EBV+	human
hg19_0832	Misc_ChIP	B_lymphocyte	NELFA	BCells+Sendai_Virus	23994473	B_lymphocyte	EBV+	human
hg19_0960	Misc_ChIP	B_lymphocyte	POLR2A	BCells	23994473	B_lymphocyte	EBV+	human
hg19_0961	Misc_ChIP	B_lymphocyte	POLR2A	BCells+Sendai_Virus	23994473	B_lymphocyte	EBV+	human
hg19_1055	Misc_ChIP	B_lymphocyte	RELA	BCells	23994473	B_lymphocyte	EBV+	human
hg19_1056	Misc_ChIP	B_lymphocyte	RELA	BCells+Sendai_Virus	23994473	B_lymphocyte	EBV+	human
hg19_0085	Misc_ChIP	GM12878	BRD4	GM12878	25639793	B_lymphocyte	EBV+	human
hg19_0002	Misc_ChIP	GM12878	EBNA2	GM12878	26883634	B_lymphocyte	EBV+	EBV
hg19_0845	Misc_ChIP	GM12878	NFKB1	GM12878	25255445	B_lymphocyte	EBV+	human
